date,account,reach,profile_visits,new_follows,dms_received,hot_dms
2026-04-14,rexa_official_kr,42,3,1,0,0
2026-04-14,30sec.budongsan,156,11,2,0,0
2026-04-15,rexa_official_kr,38,2,0,0,0
2026-04-15,30sec.budongsan,201,18,3,1,0
2026-04-16,rexa_official_kr,55,4,1,0,0
2026-04-16,30sec.budongsan,178,14,2,0,0
2026-04-17,rexa_official_kr,67,5,2,1,0
2026-04-17,30sec.budongsan,243,22,4,2,1
2026-04-18,rexa_official_kr,49,3,0,0,0
2026-04-18,30sec.budongsan,189,15,3,0,0
2026-04-19,rexa_official_kr,33,2,0,0,0
2026-04-19,30sec.budongsan,142,9,1,0,0
2026-04-20,rexa_official_kr,71,6,2,0,0
2026-04-20,30sec.budongsan,167,12,2,1,0
2026-04-21,rexa_official_kr,87,4,2,0,0
2026-04-21,30sec.budongsan,156,12,3,1,0
2026-04-22,rexa_official_kr,52,3,1,0,0
2026-04-22,30sec.budongsan,234,19,4,1,1
2026-04-23,rexa_official_kr,58,4,1,0,0
2026-04-23,30sec.budongsan,198,16,3,0,0
2026-04-24,rexa_official_kr,44,3,1,0,0
2026-04-24,30sec.budongsan,176,13,2,1,0
2026-04-25,rexa_official_kr,62,5,2,1,0
2026-04-25,30sec.budongsan,212,17,3,1,0
2026-04-26,rexa_official_kr,71,6,2,0,0
2026-04-26,30sec.budongsan,267,24,5,2,1
2026-04-27,rexa_official_kr,55,4,1,0,0
2026-04-27,30sec.budongsan,184,14,2,1,0
